PROVIDER_NUMBER,FYB,FYE,STATUS,C000001_20000_00500,C000001_20000_00600,C000001_20000_00700
041310,01-OCT-13,30-SEP-14,As Submitted,,11387509,24858678
041311,01-OCT-13,30-SEP-14,Settled,,6071954,30409310
041312,01-JAN-14,31-DEC-14,As Submitted,,13158082,62559337
041313,01-JUL-14,30-JUN-15,Settled,24652134,13708329,30872790
041314,01-JAN-14,31-DEC-14,Settled,10475532,5003839,8069514
041316,01-JAN-14,31-DEC-14,Settled,,7895793,16606378
041317,01-JAN-14,31-DEC-14,Settled,,1744403,14264833
041318,01-JAN-14,30-JUN-14,Settled,,2579075,5712189
041318,01-JUL-14,30-JUN-15,Settled,,4125138,15247615
041319,01-OCT-13,30-SEP-14,Settled,10730091,9948022,14573671
041320,01-JUL-14,30-JUN-15,Settled,,2401761,14194504
041321,01-JAN-14,31-DEC-14,As Submitted,,20438591,50576891
041322,01-JUL-14,30-JUN-15,Settled,,8900906,10481080
041323,01-OCT-13,30-SEP-14,Settled,24272228,12072332,29032500
041324,01-JUL-14,30-JUN-15,As Submitted,,10112588,45070874
041326,01-JUL-14,30-JUN-15,As Submitted,,6075665,14854283
041327,01-OCT-13,30-SEP-14,Settled,19409874,9971129,24422999
041328,01-APR-14,31-MAR-15,Settled,,7523029,19377064
041329,01-JUL-14,30-JUN-15,As Submitted,,10239962,36127956
041330,01-JAN-14,31-DEC-14,Settled,,5745286,15301422
041331,01-JAN-14,31-DEC-14,Settled,,15033429,19126143
042004,01-SEP-14,31-AUG-15,Settled,5879079,14670021,
042006,01-SEP-14,31-AUG-15,Settled,11617793,45086483,
042008,01-SEP-14,31-AUG-15,Settled,7267307,22175290,
042009,01-JUN-14,31-MAY-15,Settled,12813308,51319422,
042010,01-NOV-13,31-OCT-14,Settled,8715612,21485501,10950
042011,01-OCT-13,30-SEP-14,Settled,6233125,25061397,
042012,01-JAN-14,31-DEC-14,Settled,13447827,41967011,42874
043026,01-JAN-14,31-DEC-14,As Submitted,26452025,58749456,21304765
043028,01-JUN-14,31-MAY-15,Amended,14763612,30008292,1867400
043029,01-JAN-14,31-DEC-14,Reopened,16568938,38609462,1984973
043031,01-JAN-14,31-DEC-14,Settled,19616270,34115690,1495147
043032,01-JAN-14,31-DEC-14,Settled,14313412,33258617,549918
043033,01-JAN-14,31-DEC-14,Settled,5133665,6476902,
043034,01-NOV-13,31-OCT-14,Settled,3521449,5479614,
043300,01-JUL-14,30-JUN-15,As Submitted,,499037624,271926962
044004,01-JAN-14,31-DEC-14,Settled,18246358,38682965,5732855
044005,01-JAN-14,31-DEC-14,Settled,14726590,48622783,1749466
044006,01-JAN-14,31-DEC-14,Settled,13222817,27964790,6952382
044007,01-JAN-14,31-DEC-14,Settled,10554150,25364050,3600
044011,01-JUL-14,30-JUN-15,As Submitted,46834067,59282829,2394
044019,01-JAN-14,31-DEC-14,Settled,8662196,22872998,355500
044020,01-JAN-14,31-DEC-14,Settled,8637122,16384787,4206937
050002,01-OCT-13,30-SEP-14,Amended,112751963,461632256,189995822
050006,01-JUL-14,30-JUN-15,As Submitted,188484325,459023238,548335586
050007,01-JAN-14,31-DEC-14,Amended,378149075,779094091,682522211
050008,01-JAN-14,31-DEC-14,Settled,144074880,472908956,209301499
050009,01-JUL-14,30-JUN-15,As Submitted,206887051,551829267,593731122
050013,01-JAN-14,31-DEC-14,As Submitted,160222106,534752714,299872141
050014,01-JAN-14,31-DEC-14,As Submitted,55359096,114851507,106572468
050017,01-JUL-14,30-JUN-15,Amended,465441105,1917387666,664017513
050018,01-JAN-14,31-DEC-14,As Submitted,67842182,194239662,81485125
050022,01-MAY-14,30-APR-15,Amended,342664552,2155164734,902525146
050024,01-JAN-14,31-DEC-14,As Submitted,109033095,361323865,128997951
050025,01-JUL-14,30-JUN-15,As Submitted,1118132138,1987001928,1846205353
050026,01-OCT-13,30-SEP-14,Amended,547997534,1972077495,1252219060
050028,01-JUL-14,30-JUN-15,As Submitted,54553507,50425068,109571378
050030,01-DEC-13,30-NOV-14,As Submitted,146776850,493086048,311136461
050036,01-JUL-14,30-JUN-15,Amended,312196858,926483631,607630255
050038,01-JUL-14,30-JUN-15,Amended,907712314,1928810372,1015336430
050039,01-JUL-14,30-JUN-15,Amended,370364596,1093562990,754615115
050040,01-JUL-14,30-JUN-15,Amended,376738534,13706987,22700744
050042,01-JUL-14,30-JUN-15,Amended,71794344,118688611,226528139
050043,01-JAN-14,31-DEC-14,As Submitted,259003467,919673168,475038516
050045,01-JUL-14,30-JUN-15,As Submitted,114944884,215210154,397608653
050047,01-JAN-14,31-DEC-14,As Submitted,649827655,1838551675,950667003
050054,01-JUL-14,30-JUN-15,Settled,73616657,123789747,143955771
050055,01-JAN-14,31-DEC-14,As Submitted,116865659,354866174,145879193
050056,01-JUL-14,30-JUN-15,As Submitted,345460618,936006883,519051397
050057,01-JUL-14,30-JUN-15,As Submitted,426620629,934027874,725781254
050058,01-JUL-14,30-JUN-15,Amended,204823900,714586104,295335942
050060,01-SEP-14,31-AUG-15,As Submitted,746844634,2595172453,1030686871
050063,01-JAN-14,31-DEC-14,Settled,180977971,741915534,226749793
050067,01-JUL-14,30-JUN-15,As Submitted,54348726,57738661,129168288
050069,01-JUL-14,30-JUN-15,As Submitted,475927964,1111489082,1192596370
050070,01-JAN-14,31-DEC-14,As Submitted,190346202,1360451,2519935
050071,01-JAN-14,31-DEC-14,Settled,722226661,4996323,10292819
050072,01-JAN-14,31-DEC-14,As Submitted,524596955,2324104,7497224
050073,01-JAN-14,31-DEC-14,Settled,389089015,3032102,4538709
050075,01-JAN-14,31-DEC-14,As Submitted,784634731,4843147,8074476
050076,01-JAN-14,31-DEC-14,Settled w/Audit,482309531,3682771,4709251
050077,01-OCT-13,30-SEP-14,Amended,530520849,2028617722,623806782
050078,01-JAN-14,31-DEC-14,As Submitted,135334264,576238797,190810743
050079,01-JAN-14,31-DEC-14,As Submitted,119984666,255172381,205721031
